Models/Metrics,Release Date ,MedArabench-subset-rewritten,,
,,BERTScore-AraBERTv2,Correct %,Incorrect %
Closed-Source General Purpose LLMs ,,,,
GPT-5.2,"December 11, 2025",63.9,62.6,37.3
gemini-2.5-flash,"June 17, 2025",65.1,60.5,39.5
Claude-Opus-4.6,"February 5, 2026",61.0,67.6,32.3
Open-Source General Purpose LLMs,,,,
Mistral-7B-Instruct-v0.3,"May 22, 2024",51.5,2.3,97.6
Llama-3.1-8B-Instruct,"July 23, 2024",54.3,6.6,93.4
Mistral-Small-3.2-24B-Instruct-2506,May 2025,60,30.1,69.8
Gemma-3-27B-it,"March 10, 2025",59.3,32.6,67.3
Llama-3.3-70B,"December 6, 2024",57.8,19.5,80.4
DeepSeek-V3.2,"December 1, 2025",62.0,49.0,50.9
Arabic/Multilingual General Purpose LLMs,,,,
Jais-2-8B-Chat ,"December 6, 2024",54.2,17.7,82.3
ALLaM-7B-Instruct-preview ,"Jul 22, 2024",56.9,19.6,80.3
aya-expanse-8b ,"October, 2024",53.9,15.7,84.2
SILMA-9B-Instruct-v1.0 ,"June, 2025",57.4,15.0,85.0
Falcon-H1-7B ,"July, 2025",57.6,15.5,84.5
Fanar-9B ,"January, 2025",48.4,7.4,92.5
Medical LLMs,,,,
MedGemma-27b-text-it,"May 20, 2025",59.8,32.9,67.0
Meditron-3-70B,"Feb 18, 2025",54.7,30.7,69.3
Med42-70B,"August, 2024",53.4,24.6,75.4
Adaptation Baselines ,,,,
Mistral + Few-Shot ,"February, 2024",60.2,28.5,71.4
Mistral + AUTOCAP,method,59.8,27.5,72.5
BiMedix,"February, 2024",47.6,18.7,81.3
Mistral + Full LoRA ,-,53.8,25.5,65.9
Mistral + Ours,method,57.9,29.7,70.3
